plot_id,year,inv_type,canopy,comp,treatment,canopy_perc,canopy_trans
0040-00002,2020,N,72,0040,control,0.72,0.7190393013100437
0040-00003,2020,N,84,0040,control,0.84,0.8385152838427947
0040-00005,2020,N,88,0040,control,0.88,0.8783406113537119
0040-00007,2020,N,84,0040,control,0.84,0.8385152838427947
0040-00009,2020,N,84,0040,control,0.84,0.8385152838427947
0040-00012,2020,N,80,0040,control,0.8,0.7986899563318778
0040-00101,2020,N,92,0040,control,0.92,0.9181659388646289
0040-00103,2020,N,100,0040,control,1,0.9978165938864629
0040-00104,2020,N,92,0040,control,0.92,0.9181659388646289
0040-00105,2020,N,84,0040,control,0.84,0.8385152838427947
0040-00106,2020,N,66,0040,control,0.66,0.6593013100436682
0040-00107,2020,N,88,0040,control,0.88,0.8783406113537119
0040-00108,2020,N,92,0040,control,0.92,0.9181659388646289
0040-00109,2020,N,96,0040,control,0.96,0.9579912663755459
0040-00110,2020,N,88,0040,control,0.88,0.8783406113537119
0040-00111,2020,N,84,0040,control,0.84,0.8385152838427947
0040-00112,2020,N,80,0040,control,0.8,0.7986899563318778
0040-00113,2020,N,96,0040,control,0.96,0.9579912663755459
0040-00114,2020,N,68,0040,control,0.68,0.6792139737991267
0040-00115,2020,N,84,0040,control,0.84,0.8385152838427947
0040-00116,2020,N,92,0040,control,0.92,0.9181659388646289
0060-00021,2020,N,56,0060,burn,0.56,0.5597379912663756
0060-00021,2020,N,56,0060,burn,0.56,0.5597379912663756
0060-00027,2020,N,36,0060,burn,0.36,0.36061135371179037
0060-00101,2020,N,84,0060,burn,0.84,0.8385152838427947
0060-00102,2020,N,32,0060,burn,0.32,0.3207860262008734
0060-00103,2020,N,88,0060,burn,0.88,0.8783406113537119
0060-00104,2020,N,92,0060,burn,0.92,0.9181659388646289
0060-00105,2020,N,56,0060,burn,0.56,0.5597379912663756
0060-00106,2020,N,76,0060,burn,0.76,0.7588646288209607
0060-00107,2020,N,56,0060,burn,0.56,0.5597379912663756
0060-00108,2020,N,8,0060,burn,0.08,0.08183406113537119
0060-00109,2020,N,68,0060,burn,0.68,0.6792139737991267
0060-00111,2020,N,72,0060,burn,0.72,0.7190393013100437
0060-00112,2020,N,80,0060,burn,0.8,0.7986899563318778
0060-00113,2020,N,52,0060,burn,0.52,0.5199126637554585
0060-00114,2020,N,44,0060,burn,0.44,0.4402620087336245
0060-00116,2020,N,52,0060,burn,0.52,0.5199126637554585
0060-00117,2020,N,52,0060,burn,0.52,0.5199126637554585
0060-00119,2020,N,60,0060,burn,0.6,0.5995633187772925
0060-00130,2020,N,56,0060,burn,0.56,0.5597379912663756
0180-00004,2020,N,44,0180,mechburn,0.44,0.4402620087336245
0180-00008,2020,N,4,0180,mechburn,0.04,0.042008733624454155
0180-00010,2020,N,28,0180,mechburn,0.28,0.2809606986899563
0180-00013,2020,N,28,0180,mechburn,0.28,0.2809606986899563
0180-00018,2020,N,32,0180,mechburn,0.32,0.3207860262008734
0180-00101,2020,N,0,0180,mechburn,0,0.002183406113537118
0180-00102,2020,N,24,0180,mechburn,0.24,0.2411353711790393
0180-00106,2020,N,36,0180,mechburn,0.36,0.36061135371179037
0180-00107,2020,N,40,0180,mechburn,0.4,0.4004366812227074
0180-00108,2020,N,32,0180,mechburn,0.32,0.3207860262008734
0180-00109,2020,N,28,0180,mechburn,0.28,0.2809606986899563
0180-00110,2020,N,0,0180,mechburn,0,0.002183406113537118
0180-00111,2020,N,24,0180,mechburn,0.24,0.2411353711790393
0180-00114,2020,N,24,0180,mechburn,0.24,0.2411353711790393
0180-00116,2020,N,12,0180,mechburn,0.12,0.12165938864628821
