treatment,comp,plot_id,timestep,tph,count,Treatment,Timestep
control,0040,0040-00003,pre_treatment,24.691358024691358,1,Control,Pre (2001)
control,0040,0040-00003,post_18,49.382716049382715,2,Control,Post-18 (2020)
control,0040,0040-00005,pre_treatment,24.691358024691358,1,Control,Pre (2001)
control,0040,0040-00005,post_18,49.382716049382715,2,Control,Post-18 (2020)
control,0040,0040-00007,pre_treatment,24.691358024691358,1,Control,Pre (2001)
control,0040,0040-00007,post_18,24.691358024691358,1,Control,Post-18 (2020)
control,0040,0040-00101,pre_treatment,24.691358024691358,1,Control,Pre (2001)
control,0040,0040-00101,post_18,24.691358024691358,1,Control,Post-18 (2020)
control,0040,0040-00103,pre_treatment,49.382716049382715,2,Control,Pre (2001)
control,0040,0040-00103,post_18,74.07407407407408,3,Control,Post-18 (2020)
control,0040,0040-00104,pre_treatment,24.691358024691358,1,Control,Pre (2001)
control,0040,0040-00104,post_18,74.07407407407408,3,Control,Post-18 (2020)
control,0040,0040-00105,pre_treatment,49.382716049382715,2,Control,Pre (2001)
control,0040,0040-00105,post_18,74.07407407407408,3,Control,Post-18 (2020)
control,0040,0040-00106,pre_treatment,24.691358024691358,1,Control,Pre (2001)
control,0040,0040-00106,post_18,24.691358024691358,1,Control,Post-18 (2020)
control,0040,0040-00109,pre_treatment,74.07407407407408,3,Control,Pre (2001)
control,0040,0040-00109,post_18,123.45679012345678,5,Control,Post-18 (2020)
control,0040,0040-00110,pre_treatment,98.76543209876543,4,Control,Pre (2001)
control,0040,0040-00110,post_18,98.76543209876543,4,Control,Post-18 (2020)
control,0040,0040-00111,pre_treatment,24.691358024691358,1,Control,Pre (2001)
control,0040,0040-00111,post_18,49.382716049382715,2,Control,Post-18 (2020)
control,0040,0040-00112,pre_treatment,24.691358024691358,1,Control,Pre (2001)
control,0040,0040-00112,post_18,49.382716049382715,2,Control,Post-18 (2020)
control,0040,0040-00113,pre_treatment,24.691358024691358,1,Control,Pre (2001)
control,0040,0040-00113,post_18,49.382716049382715,2,Control,Post-18 (2020)
control,0040,0040-00114,post_18,24.691358024691358,1,Control,Post-18 (2020)
control,0040,0040-00115,post_18,24.691358024691358,1,Control,Post-18 (2020)
control,0240,0240-00003,post_18,49.382716049382715,2,Control,Post-18 (2020)
control,0240,0240-00007,pre_treatment,49.382716049382715,2,Control,Pre (2001)
control,0240,0240-00007,post_18,24.691358024691358,1,Control,Post-18 (2020)
control,0240,0240-00009,post_18,49.382716049382715,2,Control,Post-18 (2020)
control,0240,0240-00026,post_18,74.07407407407408,3,Control,Post-18 (2020)
control,0240,0240-00101,post_18,24.691358024691358,1,Control,Post-18 (2020)
control,0240,0240-00102,pre_treatment,24.691358024691358,1,Control,Pre (2001)
control,0240,0240-00102,post_18,74.07407407407408,3,Control,Post-18 (2020)
control,0240,0240-00104,post_18,49.382716049382715,2,Control,Post-18 (2020)
control,0240,0240-00105,post_18,49.382716049382715,2,Control,Post-18 (2020)
control,0240,0240-00106,post_18,49.382716049382715,2,Control,Post-18 (2020)
control,0240,0240-00107,post_18,24.691358024691358,1,Control,Post-18 (2020)
control,0240,0240-00109,pre_treatment,24.691358024691358,1,Control,Pre (2001)
control,0240,0240-00109,post_18,24.691358024691358,1,Control,Post-18 (2020)
control,0240,0240-00113,pre_treatment,24.691358024691358,1,Control,Pre (2001)
control,0240,0240-00113,post_18,24.691358024691358,1,Control,Post-18 (2020)
control,0240,0240-00114,pre_treatment,24.691358024691358,1,Control,Pre (2001)
control,0240,0240-00114,post_18,49.382716049382715,2,Control,Post-18 (2020)
control,0240,0240-00115,pre_treatment,24.691358024691358,1,Control,Pre (2001)
control,0240,0240-00115,post_18,24.691358024691358,1,Control,Post-18 (2020)
control,0590,0590-00005,pre_treatment,24.691358024691358,1,Control,Pre (2001)
control,0590,0590-00005,post_18,49.382716049382715,2,Control,Post-18 (2020)
control,0590,0590-00009,post_18,24.691358024691358,1,Control,Post-18 (2020)
control,0590,0590-00013,pre_treatment,24.691358024691358,1,Control,Pre (2001)
control,0590,0590-00013,post_18,49.382716049382715,2,Control,Post-18 (2020)
control,0590,0590-00021,pre_treatment,24.691358024691358,1,Control,Pre (2001)
control,0590,0590-00021,post_18,24.691358024691358,1,Control,Post-18 (2020)
control,0590,0590-00102,post_18,24.691358024691358,1,Control,Post-18 (2020)
control,0590,0590-00105,post_18,49.382716049382715,2,Control,Post-18 (2020)
control,0590,0590-00106,pre_treatment,74.07407407407408,3,Control,Pre (2001)
control,0590,0590-00106,post_18,74.07407407407408,3,Control,Post-18 (2020)
control,0590,0590-00107,pre_treatment,24.691358024691358,1,Control,Pre (2001)
control,0590,0590-00107,post_18,49.382716049382715,2,Control,Post-18 (2020)
control,0590,0590-00109,pre_treatment,74.07407407407408,3,Control,Pre (2001)
control,0590,0590-00109,post_18,98.76543209876543,4,Control,Post-18 (2020)
control,0590,0590-00111,pre_treatment,24.691358024691358,1,Control,Pre (2001)
control,0590,0590-00111,post_18,98.76543209876543,4,Control,Post-18 (2020)
control,0590,0590-00115,pre_treatment,24.691358024691358,1,Control,Pre (2001)
control,0590,0590-00115,post_18,24.691358024691358,1,Control,Post-18 (2020)
control,0590,0590-00117,post_18,24.691358024691358,1,Control,Post-18 (2020)
control,0590,0590-00118,pre_treatment,24.691358024691358,1,Control,Pre (2001)
control,0590,0590-00118,post_18,123.45679012345678,5,Control,Post-18 (2020)
mech,0190,0190-00010,pre_treatment,49.382716049382715,2,Mech,Pre (2001)
mech,0190,0190-00010,post_18,49.382716049382715,2,Mech,Post-18 (2020)
mech,0190,0190-00024,pre_treatment,24.691358024691358,1,Mech,Pre (2001)
mech,0190,0190-00024,post_18,74.07407407407408,3,Mech,Post-18 (2020)
mech,0190,0190-00025,post_18,24.691358024691358,1,Mech,Post-18 (2020)
mech,0190,0190-00026,pre_treatment,24.691358024691358,1,Mech,Pre (2001)
mech,0190,0190-00026,post_18,49.382716049382715,2,Mech,Post-18 (2020)
mech,0190,0190-00027,pre_treatment,24.691358024691358,1,Mech,Pre (2001)
