treatment,comp,plot_id,post_1,post_18,delta_ba_m2ha,delta_ba_m2hayr
control,0040,0040-00002,51.809904919979225,55.47045630990219,3.660551389922965,0.2153265523484097
control,0040,0040-00003,57.4330260966018,67.51057669100555,10.077550594403753,0.5927970937884561
control,0040,0040-00005,66.6112859968006,75.66656529715044,9.055279300349838,0.5326634882558728
control,0040,0040-00007,42.46405462649448,46.93412431203968,4.470069685545198,0.2629452756203058
control,0040,0040-00012,55.32375691047216,57.602255997887944,2.2784990874157813,0.13402935808328126
control,0040,0040-00101,55.27407320443206,59.19581974141012,3.9217465369780626,0.23069097276341544
control,0040,0040-00103,75.0864884892016,94.44939831306897,19.36290982386737,1.13899469552161
control,0040,0040-00104,69.90863958985726,87.12828847433585,17.219648884478588,1.0129205226163875
control,0040,0040-00105,105.4652046357338,101.64827279202967,-3.8169318437041255,-0.22452540257083092
control,0040,0040-00106,52.82157532462411,63.76069111976847,10.939115795144353,0.6434773997143737
control,0040,0040-00107,48.68811205712595,45.34381350542035,-3.3442985517055988,-0.19672344421797638
control,0040,0040-00108,20.42644150816839,30.873499031973832,10.44705752380544,0.6145327955179671
control,0040,0040-00109,81.79270282197012,101.09514840558771,19.302445583617583,1.1354379755069166
control,0040,0040-00110,112.52050421144841,130.72414884630652,18.203644634858108,1.0708026255798888
control,0040,0040-00111,61.65210746018391,71.90979851323425,10.257691053050337,0.6033935913559022
control,0040,0040-00112,42.36294188516228,50.121001573168435,7.758059688006156,0.45635645223565624
control,0040,0040-00113,87.36133094083598,95.25737779455332,7.896046853717337,0.46447334433631393
control,0040,0040-00114,34.73849044037229,51.34060268582088,16.602112245448595,0.9765948379675644
control,0040,0040-00115,49.560214299253026,60.914121103860744,11.353906804607718,0.6678768708592775
control,0040,0040-00116,51.643633219905894,57.27608651689851,5.632453296992615,0.3313207821760362
control,0240,0240-00003,26.11815412439434,49.949221482106495,23.831067357712154,1.4018274916301268
control,0240,0240-00005,40.70949452201182,41.73630648016177,1.026811958149949,0.06040070342058524
control,0240,0240-00007,56.95197456965767,52.17349142091221,-4.778483148745465,-0.2810872440438509
control,0240,0240-00009,52.79834305302535,67.000115823174,14.20177277014865,0.8353983982440383
control,0240,0240-00022,78.54305489513463,90.6405845387072,12.097529643572571,0.7116193907983865
control,0240,0240-00026,46.18936295214015,65.07237536936307,18.883012417222922,1.1107654363072308
control,0240,0240-00101,66.23247197892886,56.403548749188396,-9.828923229740461,-0.5781719546906153
control,0240,0240-00102,61.248742477500784,84.32575821957435,23.07701574207357,1.3574715142396219
control,0240,0240-00104,53.58775547370239,59.68701321374019,6.0992577400378,0.35877986706104703
control,0240,0240-00105,57.458953932267534,71.0009779877616,13.542024055494068,0.7965896503231804
control,0240,0240-00106,72.45111888887914,88.0376094516397,15.58649056276056,0.9168523860447388
control,0240,0240-00107,24.19561577568086,40.811846834963895,16.616231059283034,0.9774253564284138
control,0240,0240-00109,53.100983145321166,60.980556084453525,7.879572939132359,0.4635042905371976
control,0240,0240-00110,28.742334224956792,30.99485860104163,2.252524376084839,0.13250143388734348
control,0240,0240-00112,40.92525600265281,41.65223057251893,0.7269745698661225,0.04276320999212485
control,0240,0240-00113,77.149545235247885,90.41137760001422,13.261832364766335,0.7801077861627256
control,0240,0240-00114,52.27144754439551,79.54331540759861,27.271867863203106,1.6042275213648887
control,0240,0240-00115,80.59247868046812,91.39801838523962,10.805539704771505,0.635619982633618
control,0590,0590-00005,47.56666044253061,84.58837031800046,37.021709875469845,2.1777476397335205
control,0590,0590-00009,49.44568191522771,54.92796652487337,5.48228460964566,0.32248732997915647
control,0590,0590-00013,46.92453441817466,65.33210986975972,18.40757545158506,1.0827985559755917
control,0590,0590-00021,36.86932413903768,39.68658089249405,2.8172567534563697,0.16572098549743353
control,0590,0590-00101,21.842407737764148,36.02977936186153,14.18737162409738,0.8345512720057283
control,0590,0590-00102,42.586091926303375,62.82397040470602,20.237878478402642,1.1904634399060379
control,0590,0590-00104,38.00076291546387,54.69025190504985,16.689488989585975,0.9817346464462338
control,0590,0590-00105,56.9102999856295,78.04183480101858,21.13153481538908,1.2430314597287695
control,0590,0590-00106,78.8935557940296,101.04810593345421,22.154550139424614,1.3032088317308597
control,0590,0590-00107,54.537369727165256,82.99080295982861,28.453433232663357,1.6737313666272564
control,0590,0590-00109,85.45659495049284,105.01706429380232,19.560469343309478,1.150615843724087
control,0590,0590-00111,90.7679421450675,118.40039738986636,27.632455244798862,1.6254385438116978
control,0590,0590-00113,68.89652315662576,40.9613568195371,-27.93516633708866,-1.643245078652274
control,0590,0590-00115,48.11744756936554,64.74470453288004,16.627256963514498,0.9780739390302645
control,0590,0590-00116,34.04507112855494,49.84900600290721,15.803934874352272,0.9296432279030749
control,0590,0590-00117,21.68874119339967,29.86921731969838,8.180476126298707,0.481204478017571
control,0590,0590-00118,68.6149239780901,89.99362543391385,21.378701455823744,1.257570673871985
mech,0190,0190-00010,48.61279140362877,43.156839003044,-5.455952400584771,-0.3209383765049865
mech,0190,0190-00024,57.94130475987704,61.43546679902105,3.4941620391440082,0.20553894347905932
mech,0190,0190-00025,40.88953493062866,32.86804980525095,-8.021485125377716,-0.47185206619868914
mech,0190,0190-00026,36.821715435552726,49.11446782765255,12.292752392099821,0.7231030818882248
mech,0190,0190-00027,26.34248711091735,29.176842211222933,2.834355100305583,0.16672677060621077
mech,0190,0190-00102,62.544397343992394,83.30884009856092,20.764442754568528,1.2214378090922664
mech,0190,0190-00104,45.865623768442454,37.73832191360361,-8.12730185483884,-0.4780765796964024
mech,0190,0190-00106,20.520553539945375,24.093127396860307,3.572573856914932,0.2101514033479372
mech,0190,0190-00108,33.219821280570294,38.1902299171839,4.970408636613605,0.2923769786243297
mech,0190,0190-00110,38.52701847003465,45.466424204066165,6.939405734031517,0.4082003372959716
mech,0190,0190-00111,51.089975996078806,62.44700506284902,11.357029066770217,0.6680605333394245
mech,0190,0190-00113,50.18031038993937,75.23905432034151,25.058743930402137,1.4740437606118904
mech,0190,0190-00114,40.11204892650693,52.221773247619325,12.109724321112395,0.7123367247713174
mech,0190,0190-00116,49.7862344373863,52.273570012149285,2.4873355747629873,0.14631385733899926
mech,0350,0350-00002,45.53883995482738,45.58778377313397,0.04894381830659,0.002879048135681765
mech,0350,0350-00003,20.745856153830594,26.40909335873038,5.6632372048997865,0.33313160028822275
mech,0350,0350-00005,39.66074556703568,52.6731807993684,13.01243523233272,0.765437366607807
mech,0350,0350-00101,57.491378271260146,26.48128353538204,-31.010094735878106,-1.8241232197575357
mech,0350,0350-00102,29.719233792392515,42.61309808843715,12.893864296044633,0.7584626056496843
mech,0350,0350-00103,58.008519328626065,64.310937908181,6.302418579554939,0.37073050467970226
mech,0350,0350-00105,30.5904245847991,42.00304730619531,11.412622721396215,0.6713307483174243
mech,0350,0350-00106,23.271425151655368,36.9871437149613,13.71571856330593,0.8068069743121136
mech,0350,0350-00109,25.84797715618562,44.41109640500755,18.563119248821927,1.0919481911071722
mech,0350,0350-00110,28.503961034228855,32.264880235688224,3.7609192014593695,0.22123054126231587
mech,0350,0350-00111,54.701508247041694,79.20300816237757,24.501499915335877,1.4412647009021105
mech,0350,0350-00112,35.081079179991534,46.91360578696018,11.83252660696865,0.6960309768805087
mech,0350,0350-00113,35.67662430586649,25.249546465822817,-10.427077840043673,-0.6133575200025689
mech,0350,0350-00115,20.690277113428202,22.04152511482555,1.351248001397348,0.07948517655278518
mech,0350,0350-00116,48.253777176493536,64.87970141434822,16.625924237854683,0.9779955434032166
