comp,plot_id,treatment,timestep,ptorch,pmort,ptorch_transformed
40,0040-00002,control,post_18,1,98,0.99
40,0040-00003,control,post_18,0.09,8,0.09
40,0040-00005,control,post_18,0.93,97,0.93
40,0040-00007,control,post_18,1,98,0.99
40,0040-00012,control,post_18,0.71,98,0.71
40,0040-00101,control,post_18,0,22,0
40,0040-00103,control,post_18,0.28,9,0.28
40,0040-00104,control,post_18,0.13,8,0.13
40,0040-00105,control,post_18,1,98,0.99
40,0040-00106,control,post_18,1,14,0.99
40,0040-00107,control,post_18,0.94,100,0.94
40,0040-00108,control,post_18,1,98,0.99
40,0040-00109,control,post_18,0.19,6,0.19
40,0040-00110,control,post_18,0.08,6,0.08
40,0040-00111,control,post_18,1,10,0.99
40,0040-00112,control,post_18,1,96,0.99
40,0040-00113,control,post_18,0.9,100,0.9
40,0040-00114,control,post_18,1,83,0.99
40,0040-00115,control,post_18,0.95,24,0.95
40,0040-00116,control,post_18,0.05,33,0.05
60,0060-00021,burn,post_18,0,7,0
60,0060-00027,burn,post_18,1,7,0.99
60,0060-00101,burn,post_18,0,100,0
60,0060-00102,burn,post_18,0,7,0
60,0060-00103,burn,post_18,0,6,0
60,0060-00104,burn,post_18,0.53,9,0.53
60,0060-00105,burn,post_18,0,8,0
60,0060-00106,burn,post_18,0,9,0
60,0060-00107,burn,post_18,0.97,9,0.97
60,0060-00108,burn,post_18,0.7,12,0.7
60,0060-00109,burn,post_18,0,4,0
60,0060-00111,burn,post_18,0,6,0
60,0060-00112,burn,post_18,0,8,0
60,0060-00113,burn,post_18,0.73,4,0.73
60,0060-00114,burn,post_18,0,2,0
60,0060-00116,burn,post_18,0.02,8,0.02
60,0060-00117,burn,post_18,0.13,6,0.13
60,0060-00119,burn,post_18,0,6,0
60,0060-00130,burn,post_18,0.23,14,0.23
180,0180-00004,mechburn,post_18,0,4,0
180,0180-00008,mechburn,post_18,0,4,0
180,0180-00010,mechburn,post_18,0,3,0
180,0180-00013,mechburn,post_18,0,1,0
180,0180-00018,mechburn,post_18,0,3,0
180,0180-00101,mechburn,post_18,0,0,0
180,0180-00102,mechburn,post_18,0,1,0
180,0180-00107,mechburn,post_18,0,4,0
180,0180-00108,mechburn,post_18,0,3,0
180,0180-00109,mechburn,post_18,0,5,0
180,0180-00110,mechburn,post_18,0.07,54,0.07
180,0180-00111,mechburn,post_18,0.1,19,0.1
180,0180-00114,mechburn,post_18,0,2,0
180,0180-00117,mechburn,post_18,0,2,0
180,0180-00120,mechburn,post_18,0,6,0
180,0180-00121,mechburn,post_18,0,6,0
190,0190-00010,mech,post_18,0,4,0
190,0190-00024,mech,post_18,0,7,0
190,0190-00025,mech,post_18,0.08,7,0.08
190,0190-00026,mech,post_18,0.01,6,0.01
190,0190-00027,mech,post_18,0.04,8,0.04
190,0190-00102,mech,post_18,0.02,5,0.02
190,0190-00104,mech,post_18,1,95,0.99
190,0190-00106,mech,post_18,0.07,14,0.07
190,0190-00108,mech,post_18,0.07,4,0.07
190,0190-00110,mech,post_18,0,4,0
190,0190-00111,mech,post_18,0.18,6,0.18
190,0190-00113,mech,post_18,0.85,12,0.85
190,0190-00114,mech,post_18,1,96,0.99
190,0190-00116,mech,post_18,1,17,0.99
240,0240-00003,control,post_18,1,91,0.99
240,0240-00005,control,post_18,0.74,99,0.74
240,0240-00007,control,post_18,0.22,14,0.22
240,0240-00009,control,post_18,1,98,0.99
240,0240-00022,control,post_18,0,100,0
240,0240-00026,control,post_18,0.98,10,0.98
240,0240-00101,control,post_18,1,17,0.99
240,0240-00102,control,post_18,0.93,7,0.93
240,0240-00104,control,post_18,1,100,0.99
240,0240-00105,control,post_18,1,12,0.99
240,0240-00106,control,post_18,1,100,0.99
240,0240-00107,control,post_18,0.86,13,0.86
240,0240-00109,control,post_18,0.24,25,0.24
240,0240-00110,control,post_18,0.98,98,0.98
240,0240-00112,control,post_18,1,56,0.99
240,0240-00113,control,post_18,0,100,0
240,0240-00114,control,post_18,0.13,12,0.13
240,0240-00115,control,post_18,0,100,0
340,0340-00006,burn,post_18,0.88,12,0.88
340,0340-00013,burn,post_18,0.17,12,0.17
340,0340-00024,burn,post_18,0,12,0
340,0340-00025,burn,post_18,0,8,0
340,0340-00026,burn,post_18,0.97,23,0.97
340,0340-00103,burn,post_18,0.37,98,0.37
340,0340-00104,burn,post_18,0.75,10,0.75
340,0340-00108,burn,post_18,0.77,27,0.77
340,0340-00109,burn,post_18,0,16,0
340,0340-00111,burn,post_18,0,6,0
340,0340-00112,burn,post_18,0,3,0
340,0340-00113,burn,post_18,0,1,0
340,0340-00114,burn,post_18,0.94,4,0.94
340,0340-00115,burn,post_18,0,7,0
340,0340-00116,burn,post_18,0.84,10,0.84
340,0340-00117,burn,post_18,0.9,11,0.9
340,0340-00121,burn,post_18,1,15,0.99
340,0340-00122,burn,post_18,0.09,13,0.09
340,0340-00123,burn,post_18,0.08,6,0.08
340,0340-00124,burn,post_18,0.07,5,0.07
350,0350-00002,mech,post_18,0.8,6,0.8
350,0350-00003,mech,post_18,0,3,0
350,0350-00005,mech,post_18,0.12,7,0.12
350,0350-00101,mech,post_18,0,13,0
350,0350-00102,mech,post_18,0,5,0
350,0350-00103,mech,post_18,0.38,21,0.38
350,0350-00105,mech,post_18,0,15,0
350,0350-00106,mech,post_18,0,5,0
350,0350-00109,mech,post_18,0.77,11,0.77
350,0350-00110,mech,post_18,0,7,0
350,0350-00111,mech,post_18,0.05,6,0.05
350,0350-00112,mech,post_18,0.05,5,0.05
350,0350-00113,mech,post_18,0,5,0
350,0350-00115,mech,post_18,0.23,12,0.23
350,0350-00116,mech,post_18,0.06,6,0.06
350,0350-00117,mech,post_18,0.03,6,0.03
350,0350-00119,mech,post_18,0,16,0
380,0380-00002,mechburn,post_18,0,8,0
380,0380-00004,mechburn,post_18,0,4,0
380,0380-00006,mechburn,post_18,0,4,0
380,0380-00010,mechburn,post_18,0,4,0
380,0380-00015,mechburn,post_18,0.1,6,0.1
380,0380-00102,mechburn,post_18,0,2,0
380,0380-00103,mechburn,post_18,0,0,0
380,0380-00104,mechburn,post_18,0,3,0
380,0380-00107,mechburn,post_18,0,3,0
380,0380-00110,mechburn,post_18,0,1,0
380,0380-00112,mechburn,post_18,0,6,0
380,0380-00113,mechburn,post_18,0,17,0
380,0380-00114,mechburn,post_18,0,1,0
380,0380-00117,mechburn,post_18,0,2,0
380,0380-00118,mechburn,post_18,0,4,0
380,0380-00119,mechburn,post_18,0,3,0
380,0380-00120,mechburn,post_18,0,5,0
380,0380-00125,mechburn,post_18,0,8,0
