plot_id,inv_year,timestep,treatment,sdi_metric,max_sdi,rel_sdi,sdi_zone,comp
0040-00002,2020,post_18,control,839.15999676994,1359.07839658402,61.7447822641527,>60,0040
0040-00003,2020,post_18,control,944.623017192503,1359.07839658402,69.5046746064664,>60,0040
0040-00005,2020,post_18,control,1108.60128428405,1359.07839658402,81.5700762421413,>60,0040
0040-00007,2020,post_18,control,795.6341263408,1359.07839658402,58.5421803731551,35-60,0040
0040-00012,2020,post_18,control,971.982232094115,1359.07839658402,71.5177457413162,>60,0040
0040-00101,2020,post_18,control,880.523442189452,1359.07839658402,64.7882744956146,>60,0040
0040-00103,2020,post_18,control,1282.30796627701,1359.07839658402,94.3512875710503,>60,0040
0040-00104,2020,post_18,control,1192.57933496833,1359.07839658402,87.7491201365441,>60,0040
0040-00105,2020,post_18,control,1366.05392079385,1359.07839658402,100.513253998251,>60,0040
0040-00106,2020,post_18,control,1037.64868067257,1359.07839658402,76.3494352703021,>60,0040
0040-00107,2020,post_18,control,707.53405500176,1359.07839658402,52.0598411968077,35-60,0040
0040-00108,2020,post_18,control,688.379556259492,1359.07839658402,50.6504671098962,35-60,0040
0040-00109,2020,post_18,control,1279.53242045108,1359.07839658402,94.1470649277571,>60,0040
0040-00110,2020,post_18,control,1616.70973972107,1359.07839658402,118.956326859775,>60,0040
0040-00111,2020,post_18,control,1091.3065394931,1359.07839658402,80.2975414984189,>60,0040
0040-00112,2020,post_18,control,769.108769636537,1359.07839658402,56.5904639180239,35-60,0040
0040-00113,2020,post_18,control,1293.04045794048,1359.07839658402,95.1409765021998,>60,0040
0040-00114,2020,post_18,control,795.128045122357,1359.07839658402,58.5049432851611,35-60,0040
0040-00115,2020,post_18,control,990.463964382048,1359.07839658402,72.8776181618025,>60,0040
0040-00116,2020,post_18,control,950.361258728919,1359.07839658402,69.9268902454494,>60,0040
0060-00021,2020,post_18,burn,579.699413697679,1359.07839658402,42.6538612603016,35-60,0060
0060-00027,2020,post_18,burn,537.615570908343,1359.07839658402,39.5573627142934,35-60,0060
0060-00101,2020,post_18,burn,913.862476578175,1359.07839658402,67.2413363993664,>60,0060
0060-00102,2020,post_18,burn,636.424408493094,1359.07839658402,46.8276451228066,35-60,0060
0060-00103,2020,post_18,burn,711.331025832161,1359.07839658402,52.3392195490753,35-60,0060
0060-00104,2020,post_18,burn,742.882623554971,1359.07839658402,54.6607631629031,35-60,0060
0060-00105,2020,post_18,burn,779.313676649084,1359.07839658402,57.3413335542566,35-60,0060
0060-00106,2020,post_18,burn,819.383615782242,1359.07839658402,60.2896505339004,>60,0060
0060-00107,2020,post_18,burn,396.473632073365,1359.07839658402,29.1722415034985,25-35,0060
0060-00108,2020,post_18,burn,59.91700931164,1359.07839658402,4.4086499691437,<25,0060
0060-00109,2020,post_18,burn,909.170717787982,1359.07839658402,66.8961201997723,>60,0060
0060-00111,2020,post_18,burn,674.254491267893,1359.07839658402,49.6111551005888,35-60,0060
0060-00112,2020,post_18,burn,657.896720000038,1359.07839658402,48.4075621872609,35-60,0060
0060-00113,2020,post_18,burn,586.593263540361,1359.07839658402,43.1611057180172,35-60,0060
0060-00114,2020,post_18,burn,684.585538468353,1359.07839658402,50.3713060401098,35-60,0060
0060-00116,2020,post_18,burn,625.199810156044,1359.07839658402,46.0017473405107,35-60,0060
0060-00117,2020,post_18,burn,723.254524268045,1359.07839658402,53.2165418923524,35-60,0060
0060-00119,2020,post_18,burn,959.290042456413,1359.07839658402,70.5838636584575,>60,0060
0060-00130,2020,post_18,burn,753.749747982072,1359.07839658402,55.4603582748859,35-60,0060
0180-00004,2020,post_18,mechburn,594.991168397869,1359.07839658402,43.7790174498655,35-60,0180
0180-00008,2020,post_18,mechburn,176.598406795983,1359.07839658402,12.9939823368435,<25,0180
0180-00010,2020,post_18,mechburn,138.643891627183,1359.07839658402,10.201316714007,<25,0180
0180-00013,2020,post_18,mechburn,270.072761713491,1359.07839658402,19.8717573903247,<25,0180
0180-00018,2020,post_18,mechburn,270.882646359471,1359.07839658402,19.9313481135689,<25,0180
0180-00102,2020,post_18,mechburn,286.73096554086,1359.07839658402,21.0974559128852,<25,0180
0180-00107,2020,post_18,mechburn,586.399900421886,1359.07839658402,43.1468782003875,35-60,0180
0180-00108,2020,post_18,mechburn,637.801162444399,1359.07839658402,46.928945677268,35-60,0180
0180-00109,2020,post_18,mechburn,633.828509976552,1359.07839658402,46.6366407978856,35-60,0180
0180-00110,2020,post_18,mechburn,82.7851379914678,1359.07839658402,6.09127024603912,<25,0180
0180-00111,2020,post_18,mechburn,544.040864735662,1359.07839658402,40.0301311611666,35-60,0180
0180-00114,2020,post_18,mechburn,399.26506280045,1359.07839658402,29.377632946266,25-35,0180
0180-00117,2020,post_18,mechburn,202.029000539915,1359.07839658402,14.8651469295448,<25,0180
0180-00120,2020,post_18,mechburn,80.9274550285629,1359.07839658402,5.95458328467073,<25,0180
0180-00121,2020,post_18,mechburn,550.327599946695,1359.07839658402,40.4927045658233,35-60,0180
0190-00010,2020,post_18,mech,548.954038149921,1359.07839658402,40.391638887770704,35-60,0190
0190-00024,2020,post_18,mech,774.080600659381,1359.07839658402,56.9562876288077,35-60,0190
0190-00025,2020,post_18,mech,420.289097938734,1359.07839658402,30.9245661615336,25-35,0190
0190-00026,2020,post_18,mech,617.082525164879,1359.07839658402,45.4044834143408,35-60,0190
0190-00027,2020,post_18,mech,377.136603728206,1359.07839658402,27.7494370211551,25-35,0190
0190-00102,2020,post_18,mech,1023.24261557966,1359.07839658402,75.2894474779038,>60,0190
0190-00104,2020,post_18,mech,654.233146318864,1359.07839658402,48.1379991002174,35-60,0190
0190-00106,2020,post_18,mech,342.769368278883,1359.07839658402,25.2207208311469,25-35,0190
0190-00108,2020,post_18,mech,493.77351379052,1359.07839658402,36.3314960366964,35-60,0190
0190-00110,2020,post_18,mech,587.927249920649,1359.07839658402,43.2592594657069,35-60,0190
0190-00111,2020,post_18,mech,784.781177863166,1359.07839658402,57.7436283172242,35-60,0190
0190-00113,2020,post_18,mech,1066.7578426415,1359.07839658402,78.4912662376764,>60,0190
0190-00114,2020,post_18,mech,945.428204374547,1359.07839658402,69.5639196937305,>60,0190
0190-00116,2020,post_18,mech,860.958929403715,1359.07839658402,63.3487318735767,>60,0190
0240-00003,2020,post_18,control,742.31032272927,1359.07839658402,54.6186536843668,35-60,0240
0240-00005,2020,post_18,control,740.452981609636,1359.07839658402,54.4819918755777,35-60,0240
0240-00007,2020,post_18,control,793.314888224632,1359.07839658402,58.3715325192861,35-60,0240
0240-00009,2020,post_18,control,1055.47388451674,1359.07839658402,77.6610008053713,>60,0240
0240-00022,2020,post_18,control,1613.12632347991,1359.07839658402,118.692661698871,>60,0240
0240-00026,2020,post_18,control,945.630851363133,1359.07839658402,69.578830311771,>60,0240
0240-00101,2020,post_18,control,914.002876855793,1359.07839658402,67.2516669496843,>60,0240
0240-00102,2020,post_18,control,1148.85624771126,1359.07839658402,84.5320071747781,>60,0240
0240-00104,2020,post_18,control,888.301391887544,1359.07839658402,65.3605703777095,>60,0240
0240-00105,2020,post_18,control,1057.76256593392,1359.07839658402,77.829400319552,>60,0240
0240-00106,2020,post_18,control,1320.32813086145,1359.07839658402,97.1487836301451,>60,0240
0240-00107,2020,post_18,control,616.134630869068,1359.07839658402,45.3347380414327,35-60,0240
0240-00109,2020,post_18,control,1060.35085271439,1359.07839658402,78.0198445784684,>60,0240
0240-00110,2020,post_18,control,566.911508890689,1359.07839658402,41.7129365248977,35-60,0240
0240-00112,2020,post_18,control,677.903288555932,1359.07839658402,49.879630951372,35-60,0240
0240-00113,2020,post_18,control,1335.90127894588,1359.07839658402,98.2946445402712,>60,0240
0240-00114,2020,post_18,control,1209.15629923632,1359.07839658402,88.9688411114089,>60,0240
0240-00115,2020,post_18,control,1388.08272333629,1359.07839658402,102.134117268376,>60,0240
0340-00006,2020,post_18,burn,570.061208247098,1359.07839658402,41.9446891128519,35-60,0340
0340-00013,2020,post_18,burn,840.378601339414,1359.07839658402,61.8344463021167,>60,0340
0340-00024,2020,post_18,burn,1158.56304626573,1359.07839658402,85.2462263529263,>60,0340
0340-00025,2020,post_18,burn,599.063396469162,1359.07839658402,44.0786490297308,35-60,0340
0340-00026,2020,post_18,burn,417.229350308593,1359.07839658402,30.6994321561788,25-35,0340
0340-00103,2020,post_18,burn,472.628345144952,1359.07839658402,34.77564990606,25-35,0340
0340-00104,2020,post_18,burn,661.362724137788,1359.07839658402,48.6625882509863,35-60,0340
